Distance,ObjTemp,AmbTemp
0,77.88,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.61
0,77.88,79.61
0,77.88,79.61
0,77.88,79.61
0,77.88,79.61
0,77.88,79.61
0,77.77,79.61
0,77.77,79.61
0,77.77,79.61
0,77.77,79.61
0,77.77,79.61
0,77.77,79.61
0,77.85,79.61
0,77.85,79.61
0,77.85,79.68
0,77.85,79.68
0,77.85,79.68
0,77.85,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.65
0,77.88,79.65
0,77.88,79.65
0,77.74,79.65
0,77.74,79.65
0,77.74,79.65
0,77.74,79.61
0,77.74,79.61
0,77.74,79.61
0,77.74,79.61
0,77.74,79.61
0,77.74,79.61
0,77.74,79.75
0,77.74,79.75
0,77.74,79.75
0,77.74,79.75
0,77.95,79.75
0,77.95,79.75
0,77.95,79.68
0,77.95,79.68
0,77.95,79.68
0,77.95,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.65
0,77.88,79.65
0,77.88,79.65
0,77.88,79.65
0,77.77,79.65
0,77.77,79.65
0,77.77,79.65
0,77.77,79.68
0,77.77,79.68
0,77.77,79.68
0,77.77,79.68
0,77.77,79.68
0,77.77,79.68
0,77.77,79.65
0,77.77,79.65
0,77.77,79.65
0,77.85,79.65
0,77.85,79.65
0,77.85,79.65
0,77.85,79.65
0,77.85,79.65
0,77.85,79.65
0,77.85,79.65
0,77.67,79.65
0,77.67,79.65
0,77.67,79.61
0,77.67,79.61
0,77.67,79.61
0,77.67,79.61
0,77.85,79.61
0,77.85,79.61
0,77.85,79.68
0,77.85,79.68
0,77.85,79.68
0,77.85,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.68
0,77.88,79.68
0,77.85,79.68
0,77.85,79.68
0,77.85,79.68
0,77.85,79.61
0,77.85,79.61
0,77.85,79.61
0,77.77,79.61
0,77.77,79.61
0,77.77,79.61
0,77.77,79.68
0,77.77,79.68
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.19,79.75
1,80.22,79.75
1,80.22,79.75
1,80.22,79.75
1,80.22,79.75
1,80.22,79.75
1,80.22,79.75
1,79.97,79.75
1,79.97,79.75
1,79.97,79.75
1,79.97,79.65
1,79.97,79.65
1,79.97,79.65
1,80.08,79.65
1,80.08,79.65
1,80.08,79.65
1,80.08,79.61
1,80.08,79.61
1,80.08,79.61
1,80.08,79.61
1,80.19,79.61
1,80.19,79.61
1,80.19,79.65
1,80.19,79.65
1,80.19,79.65
1,80.19,79.65
1,79.86,79.65
1,79.86,79.65
