Distance,ObjTemp,AmbTemp
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,76.91,79.65
0,76.91,79.65
0,76.91,79.65
0,76.91,79.68
0,76.91,79.68
0,76.91,79.68
0,76.91,79.68
0,77.02,79.68
0,77.02,79.68
0,77.02,79.65
0,77.02,79.65
0,77.02,79.65
0,77.02,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.61
0,76.98,79.61
0,76.98,79.61
0,76.98,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.65
0,77.09,79.65
0,77.09,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,76.98,79.65
0,77.09,79.65
0,77.09,79.65
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,76.91,79.61
0,76.91,79.61
0,76.91,79.68
0,76.91,79.68
0,76.91,79.68
0,76.91,79.68
0,77.02,79.68
0,77.02,79.68
0,77.02,79.61
0,77.02,79.61
0,77.02,79.61
0,77.02,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.09,79.61
0,77.13,79.61
0,77.13,79.61
0,77.13,79.61
0,77.13,79.65
0,77.13,79.65
0,77.13,79.65
0,77.13,79.65
0,77.20,79.65
0,77.20,79.65
0,77.20,79.61
0,77.20,79.61
0,77.20,79.61
0,77.20,79.61
0,76.98,79.61
0,76.98,79.61
0,76.98,79.68
0,76.98,79.68
0,76.98,79.68
0,76.98,79.68
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.57
1,80.01,79.57
1,80.01,79.57
1,80.01,79.57
1,80.11,79.57
1,80.11,79.57
1,80.11,79.68
1,80.11,79.68
1,80.11,79.68
1,80.11,79.68
1,80.08,79.68
1,80.08,79.68
1,80.08,79.61
1,80.08,79.61
1,80.08,79.61
1,80.08,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.50
1,80.01,79.50
1,80.01,79.50
1,79.97,79.50
1,79.97,79.50
1,79.97,79.50
1,79.97,79.57
1,79.97,79.57
1,79.97,79.57
1,80.01,79.57
1,80.01,79.57
1,80.01,79.57
1,80.01,79.65
1,80.01,79.65
1,80.01,79.65
1,80.01,79.65
1,80.08,79.65
1,80.08,79.65
1,80.08,79.54
1,80.08,79.54
1,80.08,79.54
1,80.08,79.54
1,80.08,79.54
1,80.08,79.54
1,80.08,79.61
1,80.08,79.61
1,80.08,79.61
1,80.08,79.61
1,80.19,79.61
1,80.19,79.61
1,80.19,79.61
1,80.19,79.61
1,80.19,79.61
1,80.19,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.61
1,80.01,79.65
1,80.01,79.65
1,80.01,79.65
1,79.97,79.65
1,79.97,79.65
1,79.97,79.65
1,79.97,79.61
1,79.97,79.61
1,79.97,79.61
1,79.97,79.61
1,80.08,79.61
1,80.08,79.61
1,80.08,79.57
1,80.08,79.57
1,80.08,79.57
1,80.08,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.79,79.57
1,79.75,79.57
1,79.75,79.57
1,79.75,79.57
1,79.75,79.68
2,79.07,79.68
2,79.07,79.68
2,79.07,79.68
2,79.07,79.68
2,79.07,79.68
2,79.07,79.68
2,79.07,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.54
2,79.00,79.54
2,79.00,79.54
2,79.00,79.54
2,78.96,79.54
2,78.96,79.54
2,78.96,79.54
2,78.96,79.54
2,78.96,79.54
2,78.96,79.54
2,78.75,79.54
2,78.75,79.54
2,78.75,79.54
2,78.75,79.57
2,78.75,79.57
2,78.75,79.57
2,78.96,79.57
2,78.96,79.57
2,78.96,79.57
2,78.96,79.50
2,78.96,79.50
2,78.96,79.50
2,78.67,79.50
2,78.67,79.50
2,78.67,79.50
2,78.67,79.68
2,78.67,79.68
2,78.67,79.68
2,78.67,79.68
2,79.00,79.68
2,79.00,79.68
2,79.00,79.50
2,79.00,79.50
2,79.00,79.50
2,79.00,79.50
2,78.57,79.50
2,78.57,79.50
2,78.57,79.50
2,78.57,79.50
2,78.57,79.50
2,78.57,79.50
2,78.57,79.50
2,78.57,79.50
2,78.57,79.57
2,78.57,79.57
2,78.57,79.57
2,78.57,79.57
2,78.75,79.57
2,78.75,79.57
2,78.75,79.57
2,78.75,79.57
2,78.75,79.57
2,78.75,79.57
2,78.78,79.57
2,78.78,79.57
2,78.78,79.57
2,78.78,79.54
2,78.78,79.54
2,78.78,79.54
2,78.78,79.54
2,78.64,79.54
2,78.64,79.54
2,78.64,79.54
2,78.64,79.54
2,78.64,79.54
2,78.64,79.54
2,78.85,79.54
2,78.85,79.54
2,78.85,79.57
2,78.85,79.57
2,78.85,79.57
2,78.85,79.57
2,78.75,79.57
2,78.75,79.57
2,78.75,79.61
2,78.75,79.61
2,78.75,79.61
2,78.75,79.61
2,78.67,79.61
2,78.67,79.61
2,78.67,79.61
2,78.67,79.61
2,78.67,79.61
2,78.67,79.61
2,78.85,79.61
3,78.31,79.57
3,78.31,79.57
3,78.31,79.57
3,78.31,79.57
3,78.31,79.57
3,78.31,79.57
3,78.31,79.57
3,78.31,79.57
3,78.31,79.57
3,78.42,79.57
3,78.42,79.57
3,78.42,79.61
3,78.42,79.61
3,78.42,79.61
3,78.42,79.61
3,78.46,79.61
3,78.46,79.61
3,78.46,79.57
3,78.46,79.57
3,78.46,79.57
3,78.46,79.57
3,78.31,79.57
3,78.31,79.57
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.24,79.65
3,78.24,79.65
3,78.24,79.65
3,78.24,79.65
3,78.24,79.65
3,78.24,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.31,79.65
3,78.24,79.65
3,78.24,79.65
3,78.24,79.54
3,78.24,79.54
3,78.24,79.54
3,78.24,79.54
3,78.24,79.54
3,78.24,79.54
3,78.24,79.61
3,78.24,79.61
3,78.24,79.61
3,78.24,79.61
3,78.46,79.61
3,78.46,79.61
3,78.46,79.61
3,78.46,79.57
3,78.46,79.57
3,78.46,79.57
3,78.24,79.57
3,78.24,79.57
3,78.24,79.57
3,78.24,79.57
3,78.24,79.57
3,78.24,79.57
3,78.42,79.57
3,78.42,79.57
3,78.42,79.57
3,78.42,79.61
3,78.42,79.61
3,78.42,79.61
3,78.42,79.61
3,78.31,79.61
3,78.31,79.61
3,78.31,79.54
3,78.31,79.54
3,78.31,79.54
3,78.31,79.54
3,78.42,79.54
3,78.42,79.54
3,78.42,79.54
3,78.42,79.54
3,78.42,79.54
3,78.42,79.54
3,78.35,79.54
3,78.35,79.54
3,78.35,79.65
3,78.35,79.65
3,78.35,79.65
3,78.35,79.65
3,78.46,79.65
3,78.46,79.65
3,78.46,79.65
3,78.46,79.57
3,78.46,79.57
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.68
4,77.77,79.68
4,77.77,79.68
4,77.77,79.68
4,77.88,79.68
4,77.88,79.68
4,77.88,79.54
4,77.88,79.54
4,77.88,79.54
4,77.88,79.54
4,77.74,79.54
4,77.74,79.54
4,77.74,79.57
4,77.74,79.57
4,77.74,79.57
4,77.74,79.57
4,77.77,79.57
4,77.77,79.57
4,77.77,79.65
4,77.77,79.65
4,77.77,79.65
4,77.77,79.65
4,77.74,79.65
4,77.74,79.65
4,77.74,79.65
4,77.74,79.57
4,77.74,79.57
4,77.74,79.57
4,77.95,79.57
4,77.95,79.57
4,77.95,79.57
4,77.95,79.54
4,77.95,79.54
4,77.95,79.54
4,77.95,79.54
4,77.77,79.54
4,77.77,79.54
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.85,79.61
4,77.85,79.61
4,77.85,79.65
4,77.85,79.65
4,77.85,79.65
4,77.85,79.65
4,77.85,79.65
4,77.85,79.65
4,77.85,79.57
4,77.85,79.57
4,77.85,79.57
4,77.85,79.57
4,77.77,79.57
4,77.77,79.57
4,77.77,79.50
4,77.77,79.50
4,77.77,79.50
4,77.77,79.50
4,77.74,79.50
4,77.74,79.50
4,77.74,79.50
4,77.74,79.61
4,77.74,79.61
4,77.74,79.61
4,77.88,79.61
4,77.88,79.61
4,77.88,79.61
4,77.88,79.57
4,77.88,79.57
4,77.88,79.57
4,77.88,79.57
4,77.77,79.57
4,77.77,79.57
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.61
4,77.77,79.65
4,77.77,79.65
4,77.77,79.65
4,77.77,79.65
4,77.99,79.65
4,77.99,79.65
4,77.99,79.57
4,77.99,79.57
4,77.99,79.57
4,77.99,79.57
4,77.77,79.57
5,77.56,79.65
5,77.56,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.77,79.65
5,77.77,79.65
5,77.77,79.65
5,77.77,79.61
5,77.77,79.61
5,77.77,79.61
5,77.74,79.61
5,77.74,79.61
5,77.74,79.61
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.74,79.57
5,77.74,79.57
5,77.74,79.57
5,77.74,79.57
5,77.74,79.57
5,77.74,79.57
5,77.74,79.50
5,77.74,79.50
5,77.74,79.50
5,77.74,79.50
5,77.56,79.50
5,77.56,79.50
5,77.56,79.50
5,77.56,79.50
5,77.56,79.50
5,77.56,79.50
5,77.63,79.50
5,77.63,79.50
5,77.63,79.61
5,77.63,79.61
5,77.63,79.61
5,77.63,79.61
5,77.85,79.61
5,77.85,79.61
5,77.85,79.61
5,77.85,79.61
5,77.85,79.61
5,77.85,79.61
5,77.74,79.61
5,77.74,79.61
5,77.74,79.61
5,77.74,79.65
5,77.74,79.65
5,77.74,79.65
5,77.88,79.65
5,77.88,79.65
5,77.88,79.65
5,77.88,79.61
5,77.88,79.61
5,77.88,79.61
5,77.88,79.61
5,77.85,79.61
5,77.85,79.61
5,77.85,79.61
5,77.85,79.61
5,77.85,79.61
