Angle,Distance,ObjTemp,AmbTemp
90,1,78.46,77.09
90,1,78.46,77.09
90,1,78.89,77.09
90,1,78.89,77.09
90,1,78.89,77.09
90,1,78.89,76.91
90,1,78.89,76.91
90,1,78.89,76.91
90,1,78.89,76.91
90,1,78.89,76.91
90,1,78.42,76.91
90,1,78.42,76.91
90,1,78.42,77.02
90,1,78.42,77.02
90,1,78.42,77.02
90,1,78.46,77.02
90,1,78.46,77.02
90,1,78.46,76.91
90,1,78.46,76.91
90,1,78.46,76.91
90,1,78.46,76.91
90,1,78.46,76.91
90,1,78.46,77.02
90,1,78.46,77.02
90,1,78.46,77.02
90,1,78.57,77.02
90,1,78.57,77.02
90,1,78.57,77.05
90,1,78.57,77.05
90,1,78.57,77.05
90,1,78.64,77.05
90,1,78.64,77.05
90,1,78.64,77.09
90,1,78.64,77.09
90,1,78.64,77.09
90,1,78.64,77.09
90,1,78.67,77.09
90,1,78.67,77.09
90,1,78.67,76.98
90,1,78.67,76.98
90,1,78.67,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.57,76.98
90,1,78.57,76.98
90,1,78.57,76.98
90,1,78.57,76.98
90,1,78.57,76.98
90,1,78.57,76.98
90,1,78.57,76.98
90,1,78.57,77.05
90,1,78.57,77.05
90,1,78.57,77.05
90,1,78.67,77.05
90,1,78.67,77.05
90,1,78.67,76.98
90,1,78.67,76.98
90,1,78.67,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,76.91
90,1,78.53,76.91
90,1,78.53,76.91
90,1,78.42,76.91
90,1,78.42,76.91
90,1,78.42,76.91
90,1,78.42,76.98
90,1,78.42,76.98
90,1,78.42,76.98
90,1,78.64,76.98
90,1,78.64,76.98
90,1,78.64,76.95
90,1,78.64,76.95
90,1,78.64,76.95
90,1,78.53,76.95
90,1,78.53,76.95
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,76.98
90,1,78.53,77.02
90,1,78.53,77.02
90,1,78.53,77.02
90,1,78.64,77.02
90,1,78.64,77.02
90,1,78.64,76.95
90,1,78.64,76.95
90,1,78.64,76.95
90,1,78.53,76.95
90,1,78.53,76.95
90,1,78.53,76.91
90,1,78.53,76.91
90,1,78.53,76.91
90,1,78.46,76.91
90,1,78.46,76.91
90,1,78.46,76.91
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.23,77.02
90,2,77.23,77.02
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.20,77.05
90,2,77.20,77.05
90,2,77.20,76.95
90,2,77.20,76.95
90,2,77.20,76.95
90,2,77.02,76.95
90,2,77.02,76.95
90,2,77.02,77.05
90,2,77.02,77.05
90,2,77.02,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.13,77.05
90,2,77.13,77.05
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.13,77.02
90,2,77.23,77.02
90,2,77.23,77.02
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.05
90,2,77.23,77.02
90,2,77.23,77.02
90,2,77.23,77.02
90,2,77.20,77.02
90,2,77.20,77.02
90,2,77.20,76.98
90,2,77.20,76.98
90,2,77.20,76.98
90,2,77.13,76.98
90,2,77.13,76.98
90,2,77.13,76.95
90,2,77.13,76.95
90,2,77.13,76.95
90,2,77.09,76.95
90,2,77.09,76.95
90,2,77.09,77.09
90,2,77.09,77.09
90,2,77.09,77.09
90,2,77.09,77.09
90,2,77.23,77.09
90,2,77.23,77.09
90,2,77.23,76.95
90,2,77.23,76.95
90,2,77.23,76.95
90,2,77.20,76.95
90,2,77.20,76.95
90,2,77.20,76.98
90,2,77.20,76.98
90,2,77.20,76.98
90,2,76.91,76.98
90,2,76.91,76.98
90,2,76.91,77.02
90,2,76.91,77.02
90,2,76.91,77.02
90,2,77.09,77.02
90,2,77.09,77.02
90,2,77.09,76.95
90,2,77.09,76.95
90,2,77.09,76.95
90,2,76.98,76.95
90,2,76.98,76.95
90,2,76.98,77.02
90,2,76.98,77.02
90,2,76.98,77.02
90,2,77.13,77.02
90,3,76.15,77.31
90,3,76.15,77.31
90,3,76.15,77.31
90,3,76.15,77.31
90,3,76.15,77.31
90,3,76.48,77.31
90,3,76.48,77.31
90,3,76.48,77.31
90,3,76.48,77.02
90,3,76.48,77.02
90,3,76.48,77.02
